discovery_model,discovery_sys_id,norm_publisher,norm_publisher_sys_id,norm_product,norm_product_sys_id,publisher,product,software_install,software_install_sys_id,version,license_sys_id
advanced_meshing 2021.0331,311a20d1db870a1016f8252b13961942,ANSYS,bf0aac91db870a1016f8252b13961973,Advanced Meshing,b8b1a5a71b632010d51998e8b04bcb62,ansyslmd,advanced_meshing,advanced_meshing,b11a20d1db870a1016f8252b13961941,2021.0331,6155f57bebc50f6b1e66f09b3fe3abcd
86234REVITS_2015_0F 2015,135b4bb0bb4c00109c5f1272dbdb75f6,Autodesk Inc.,934181fec0a8000b1faf2ba67247ec78,AutoCAD Architecture,e2105c060b3022002d6c650d37673ae2,adskflex,86234REVITS_2015_0F,86234REVITS_2015_0F,5f5b4bb0bb4c00109c5f1272dbdb75f4,2015,b3272e2e534000102c50ddeeff7b12cd
3D Analyst 10.6,df5b4bb0bb4c00109c5f1272dbdb75f7,ESRI,a91e0374bb4c00109c5f1272dbdb752c,ArcGIS 3D Analyst,0ffcd0370b1722000725c84463673a26,ARCGIS,3D Analyst,3D Analyst,1f5b4bb0bb4c00109c5f1272dbdb75f6,10.6,7155f57bebc50f6b1e66f09b3fe3abcd
