active,end_date,eng_software_install,is_product_normalized,license_id,license_server,license_type,norm_product,norm_publisher,parent_id,product,publisher,quantity,source,start_date,sys_created_by,sys_created_on,sys_domain,sys_domain_path,sys_id,sys_mod_count,sys_updated_by,sys_updated_on,version
TRUE,17/12/2026 0:00,5f5b4bb0bb4c00109c5f1272dbdb75f4,TRUE,AutoCAD Architecture 1,cb272e2e534000102c50ddeeff7b1214,479a099c73723300b19ba24853f6a74a,e2105c060b3022002d6c650d37673ae2,934181fec0a8000b1faf2ba67247ec78,,86234REVITS_2015_0F,adskflex,15,OpenLM,17/12/2023 0:00,admin,17/03/2024 17:33,global,/,a3272e2e534000102c50ddeeff7b12cd,0,admin,17/03/2024 17:33,2015
TRUE,11/04/2262 0:00,af17d4db87959a10b2a04336cebb3544,FALSE,0x0C2ED00A08A78145A8551014F42D,4c969c1b87959a10b2a04336cebb35ce,25ca499c73723300b19ba24853f6a739,,,,3D Analyst Desktop,Esri,99999,OpeniT,01/01/1970 0:00,admin,22/10/2024 7:56,51f828591b830a10f74a4225bd4bcb74,,8c96dc1b87959a10b2a04336cebb351a,1,admin,22/10/2024 7:58,2023
TRUE,19/01/2038 3:14,b11a20d1db870a1016f8252b13961941,FALSE,0x7C3A2C3C19D7B618D44C0102833A,55f828591b830a10f74a4225bd4bcb7e,25ca499c73723300b19ba24853f6a739,,,,advanced_meshing,ansyslmd,1,OpeniT,01/07/2024 0:00,admin,26/06/2024 7:47,51f828591b830a10f74a4225bd4bcb74,,86f868591b830a10f74a4225bd4bcb1b,6,admin,28/10/2024 6:33,2021.0331
